Date,ticker,mention_count,percent_change
2021-05-20,BB,5.0,0.027715373900101106
2021-05-21,BB,8.0,-0.030059982664367525
2021-05-24,BB,5.0,0.0116686768300396
2021-05-24,BB,7.0,0.0116686768300396
2021-05-24,BB,8.0,0.0116686768300396
2021-05-25,BB,4.0,-0.003486317639796057
2021-05-26,BB,12.0,0.09435718194688983
2021-05-27,BB,9.0,0.05462467505049029
2021-05-28,BB,19.0,0.009980065668053232
2021-05-31,BB,6.0,
2021-05-31,BB,7.0,
2021-06-01,BB,8.0,
2021-06-01,BB,3.0,
2021-01-28,CLF,0.0,0.0
2021-01-29,CLF,0.0,-0.04399820357031976
2021-02-01,CLF,0.0,0.021922228498833234
2021-02-01,CLF,1.0,0.021922228498833234
2021-02-01,CLF,0.0,0.021922228498833234
2021-02-02,CLF,0.0,-0.03240724231371265
2021-02-03,CLF,1.0,-0.0006589936815845543
2021-02-04,CLF,0.0,0.05264371414209608
2021-02-05,CLF,1.0,0.04284625714060034
2021-02-08,CLF,0.0,0.03762932965269221
2021-02-08,CLF,0.0,0.03762932965269221
2021-02-08,CLF,1.0,0.03762932965269221
2021-02-09,CLF,0.0,-0.08486291411652415
2021-02-10,CLF,0.0,0.04303065471412177
2021-02-11,CLF,1.0,0.005998726666547746
2021-02-12,CLF,1.0,-0.007202848246638382
2021-02-15,CLF,0.0,
2021-02-15,CLF,0.0,
2021-02-16,CLF,0.0,0.015541270432267737
2021-02-16,CLF,0.0,0.015541270432267737
2021-02-17,CLF,0.0,0.03324888826571094
2021-02-18,CLF,0.0,-0.04879015869797875
2021-02-19,CLF,0.0,0.02498643169825936
2021-02-22,CLF,0.0,0.021506143227483315
2021-02-22,CLF,1.0,0.021506143227483315
2021-02-22,CLF,1.0,0.021506143227483315
2021-02-23,CLF,0.0,-0.032732289598840496
2021-02-24,CLF,0.0,0.004150595687350885
2021-02-25,CLF,0.0,-0.15939119993445153
2021-02-26,CLF,1.0,-0.07715534749655262
2021-03-01,CLF,0.0,0.04757572039115099
2021-03-01,CLF,0.0,0.04757572039115099
2021-03-01,CLF,1.0,0.04757572039115099
2021-03-02,CLF,0.0,0.04814327165790914
2021-03-03,CLF,0.0,-0.02413080745890135
2021-03-04,CLF,0.0,-0.04788339354378152
2021-03-05,CLF,0.0,0.03312038098798776
2021-03-08,CLF,0.0,0.03548199889416347
2021-03-08,CLF,0.0,0.03548199889416347
2021-03-08,CLF,1.0,0.03548199889416347
2021-03-09,CLF,0.0,0.06483748967919149
2021-03-10,CLF,0.0,0.022800266414002433
2021-03-11,CLF,0.0,0.05660162040928168
2021-03-12,CLF,0.0,0.03717043978372318
2021-03-15,CLF,1.0,-0.02599053308458818
2021-03-15,CLF,0.0,-0.02599053308458818
2021-03-15,CLF,0.0,-0.02599053308458818
2021-03-16,CLF,0.0,-0.07091732084741903
2021-03-17,CLF,1.0,0.05141892350180079
2021-03-18,CLF,0.0,-0.004185339037968867
2021-03-19,CLF,1.0,-0.0036015269325940123
2021-03-22,CLF,0.0,-0.04740804818019051
2021-03-22,CLF,0.0,-0.04740804818019051
2021-03-22,CLF,0.0,-0.04740804818019051
2021-03-23,CLF,0.0,-0.07527265735300336
2021-03-24,CLF,0.0,-0.006821334943168157
2021-03-25,CLF,0.0,0.03761359612625962
2021-03-26,CLF,2.0,0.08827401463139825
2021-03-29,CLF,0.0,-0.02073245969939003
2021-03-29,CLF,1.0,-0.02073245969939003
2021-03-29,CLF,0.0,-0.02073245969939003
2021-03-30,CLF,0.0,0.06037089863762461
2021-03-31,CLF,1.0,0.15398498217587148
2021-04-01,CLF,4.0,-0.03491376734340347
2021-04-05,CLF,1.0,-0.001546029014892687
2021-04-05,CLF,2.0,-0.001546029014892687
2021-04-05,CLF,0.0,-0.001546029014892687
2021-04-05,CLF,0.0,-0.001546029014892687
2021-04-06,CLF,0.0,-0.04860968074202498
2021-04-07,CLF,0.0,-0.01968345143710654
2021-04-08,CLF,1.0,-0.0011049977556479849
2021-04-09,CLF,0.0,-0.01447688024605001
2021-04-12,CLF,0.0,-0.016398388455506605
2021-04-12,CLF,0.0,-0.016398388455506605
2021-04-12,CLF,0.0,-0.016398388455506605
2021-04-13,CLF,0.0,-0.005717590037174556
2021-04-14,CLF,1.0,0.0595446898473104
2021-04-15,CLF,0.0,-0.02905113536684291
2021-04-16,CLF,0.0,0.000556031655845602
2021-04-19,CLF,0.0,-0.0339207419713721
2021-04-19,CLF,0.0,-0.0339207419713721
2021-04-19,CLF,1.0,-0.0339207419713721
2021-04-20,CLF,0.0,-0.04649257492574259
2021-04-21,CLF,0.0,0.026747440639741524
2021-04-22,CLF,0.0,0.002343347073646434
2021-04-23,CLF,0.0,0.05076649752788101
2021-04-26,CLF,0.0,0.051487977758638455
2021-04-26,CLF,1.0,0.051487977758638455
2021-04-26,CLF,0.0,0.051487977758638455
2021-04-27,CLF,1.0,-0.0127593313005263
2021-04-28,CLF,0.0,-0.018359054752862345
2021-04-29,CLF,0.0,-0.05373430202077616
2021-04-30,CLF,0.0,0.026668316354228134
2021-05-03,CLF,0.0,0.019407233840867393
