Date,ticker,mention_count
2021-05-10,GME,24
2021-05-10,PLTR,13
2021-05-10,RKT,11
2021-05-10,SENS,10
2021-05-10,WKHS,0
2021-05-10,WWE,0
2021-05-11,AMC,1
2021-05-11,BB,7
2021-05-11,CLF,1
2021-05-11,CLNE,2
2021-05-11,CLOV,0
2021-05-11,FORD,2
2021-05-11,GME,5
2021-05-11,PLTR,17
2021-05-11,RKT,4
2021-05-11,SENS,5
2021-05-11,WKHS,1
2021-05-11,WWE,0
2021-05-12,AMC,4
2021-05-12,BB,10
2021-05-12,CLF,1
2021-05-12,CLNE,0
2021-05-12,CLOV,3
2021-05-12,FORD,2
2021-05-12,GME,8
2021-05-12,PLTR,6
2021-05-12,RKT,4
2021-05-12,SENS,10
2021-05-12,WKHS,0
2021-05-12,WWE,0
2021-05-13,AMC,2
2021-05-13,BB,11
2021-05-13,CLF,0
2021-05-13,CLNE,0
2021-05-13,CLOV,2
2021-05-13,FORD,1
2021-05-13,GME,4
2021-05-13,PLTR,3
2021-05-13,RKT,1
2021-05-13,SENS,4
2021-05-13,WKHS,0
2021-05-13,WWE,0
2021-05-14,AMC,11
2021-05-14,BB,9
2021-05-14,CLF,0
2021-05-14,CLNE,0
2021-05-14,CLOV,4
2021-05-14,FORD,4
2021-05-14,GME,14
2021-05-14,PLTR,8
2021-05-14,RKT,0
2021-05-14,SENS,8
2021-05-14,WKHS,0
2021-05-14,WWE,0
2021-05-17,AMC,8
2021-05-17,BB,6
2021-05-17,CLF,0
2021-05-17,CLNE,0
2021-05-17,CLOV,4
2021-05-17,FORD,2
2021-05-17,GME,15
2021-05-17,PLTR,9
2021-05-17,RKT,2
2021-05-17,SENS,5
2021-05-17,WKHS,0
2021-05-17,WWE,0
2021-05-18,AMC,5
2021-05-18,BB,9
2021-05-18,CLF,0
2021-05-18,CLNE,0
2021-05-18,CLOV,1
2021-05-18,FORD,0
2021-05-18,GME,5
2021-05-18,PLTR,2
2021-05-18,RKT,3
2021-05-18,SENS,2
2021-05-18,WKHS,0
2021-05-18,WWE,1
2021-05-19,AMC,5
2021-05-19,BB,6
2021-05-19,CLF,0
2021-05-19,CLNE,0
2021-05-19,CLOV,0
2021-05-19,FORD,0
2021-05-19,GME,6
2021-05-19,PLTR,3
2021-05-19,RKT,1
2021-05-19,SENS,1
2021-05-19,WKHS,0
2021-05-19,WWE,1
2021-05-20,AMC,4
2021-05-20,BB,5
2021-05-20,CLF,1
2021-05-20,CLNE,0
2021-05-20,CLOV,1
2021-05-20,FORD,1
2021-05-20,GME,3
2021-05-20,PLTR,0
2021-05-20,RKT,0
2021-05-20,SENS,3
2021-05-20,WKHS,0
2021-05-20,WWE,0
2021-05-21,AMC,2
2021-05-21,BB,8
2021-05-21,CLF,0
2021-05-21,CLNE,0
2021-05-21,CLOV,0
2021-05-21,FORD,3
2021-05-21,GME,1
2021-05-21,PLTR,3
2021-05-21,RKT,1
2021-05-21,SENS,2
2021-05-21,WKHS,0
2021-05-21,WWE,0
2021-05-24,AMC,6
2021-05-24,BB,20
2021-05-24,CLF,1
2021-05-24,CLNE,0
2021-05-24,CLOV,0
2021-05-24,FORD,1
2021-05-24,GME,16
2021-05-24,PLTR,0
2021-05-24,RKT,2
2021-05-24,SENS,5
2021-05-24,WKHS,0
2021-05-24,WWE,0
2021-05-25,AMC,2
2021-05-25,BB,4
2021-05-25,CLF,0
2021-05-25,CLNE,0
2021-05-25,CLOV,2
2021-05-25,FORD,0
2021-05-25,GME,2
2021-05-25,PLTR,2
2021-05-25,RKT,0
2021-05-25,SENS,2
2021-05-25,WKHS,0
2021-05-25,WWE,0
2021-05-26,AMC,10
2021-05-26,BB,12
2021-05-26,CLF,0
2021-05-26,CLNE,0
2021-05-26,CLOV,0
2021-05-26,FORD,2
2021-05-26,GME,12
2021-05-26,PLTR,0
2021-05-26,RKT,1
2021-05-26,SENS,3
2021-05-26,WKHS,0
2021-05-26,WWE,0
2021-05-27,AMC,15
2021-05-27,BB,9
2021-05-27,CLF,0
2021-05-27,CLNE,0
2021-05-27,CLOV,0
2021-05-27,FORD,0
2021-05-27,GME,13
2021-05-27,PLTR,0
2021-05-27,RKT,0
2021-05-27,SENS,6
2021-05-27,WKHS,0
2021-05-27,WWE,0
2021-05-28,AMC,38
2021-05-28,BB,19
2021-05-28,CLF,0
2021-05-28,CLNE,0
2021-05-28,CLOV,0
2021-05-28,FORD,9
2021-05-28,GME,13
2021-05-28,PLTR,4
2021-05-28,RKT,4
2021-05-28,SENS,7
2021-05-28,WKHS,0
2021-05-28,WWE,0
2021-05-31,AMC,24
2021-05-31,BB,13
2021-05-31,CLF,0
2021-05-31,CLNE,1
2021-05-31,CLOV,2
2021-05-31,FORD,3
2021-05-31,GME,10
2021-05-31,PLTR,1
2021-05-31,RKT,1
2021-05-31,SENS,8
2021-05-31,WKHS,0
2021-05-31,WWE,0
2021-06-01,AMC,8
2021-06-01,BB,11
2021-06-01,CLF,0
2021-06-01,CLNE,0
2021-06-01,CLOV,0
2021-06-01,FORD,5
2021-06-01,GME,7
2021-06-01,PLTR,0
2021-06-01,RKT,0
2021-06-01,SENS,3
2021-06-01,WKHS,0
2021-06-01,WWE,0
